actor,movie_or_TV_name
Mitsuru Miyamoto,Saint Seiya: Legend of Sanctuary
Mitsuru Miyamoto,"Wake Up, Girls! - Seven Idols"
Mitsuru Miyamoto,Zorori the Naughty Hero: Super Adventure!
Mitsuru Miyamoto,The New Prince of Tennis
Mitsuru Miyamoto,Hellsing: The Dawn
Mitsuru Miyamoto,Fractale
Mitsuru Miyamoto,Welcome to the Space Show
Shinji Ogawa,Kaizoku Sentai Gokaiger
Shinji Ogawa,Junod
Shinji Ogawa,Detective Conan: The Lost Ship in the Sky
Shinji Ogawa,Mobile Suit Gundam Unicorn
Shinji Ogawa,Nodame Cantabile
Shinji Ogawa,Project Blue Earth SOS
Shinji Ogawa,Witchblade
Shinji Ogawa,Phoenix
Shigeru Chiba,Listeners
Shigeru Chiba,Dorohedoro
Shigeru Chiba,Natsunagu!
Shigeru Chiba,One Piece: Stampede
Shigeru Chiba,Demon Slayer: Kimetsu no Yaiba
Masato Yamanouchi,Cyborg 009 and the Monster Wars
Masato Yamanouchi,Cyborg 009
Masato Yamanouchi,The Little Prince and the Eight-Headed Dragon
Hiroshi Yanaka,Kemono Jihen
Hiroshi Yanaka,Moriarty the Patriot
Hiroshi Yanaka,Higurashi: When They Cry - NEW
Hiroshi Yanaka,BNA
Koichi Yamadera,Shin Mashin Eiyuuden Wataru: Mashinzan Hen
Kazuhiro Yamaji,Meiji Gekken: 1874
Kazuhiro Yamaji,The Witch and the Beast
Kazuhiro Yamaji,The Birth of Kitarou: Mystery of GeGeGe
Kazuhiro Yamaji,PLUTO
Kazuhiro Yamaji,Ron Kamonohashi's Forbidden Deductions
Kazuhiro Yamaji,Sand Land
Yutaka Nakano,Ghost in the Shell: SAC_2045 Sustainable War
Iemasa Kayumi,Detective Conan: Dimensional Sniper
Naruki Masahisa,Ghost in the Shell
Atsuko Tanaka,TEKKEN: Blood Vengeance
Atsuko Tanaka,Ghost in the Shell: Stand Alone Complex - Solid State Society 3D
Atsuko Tanaka,Mazinkaiser SKL
Atsuko Tanaka,Halo Legends
Atsuko Tanaka,Halo Legends
Atsuko Tanaka,Aoi Bungaku Series
Atsuko Tanaka,Nyan Koi!
Atsuko Tanaka,A Certain Scientific Railgun
Yuji Ueda,Mobile Suit Gundam 00 Special Edition I: Celestial Being
Yuji Ueda,Oblivion Island: Haruka and the Magic Mirror
Yuji Ueda,Pikachu's Sparkle Search!
Yuji Ueda,Pokémon: Arceus and the Jewel of Life
Yuji Ueda,Fullmetal Alchemist: Brotherhood
Yuji Ueda,Kannagi
Yuji Ueda,Detroit Metal City
Yuji Ueda,Pikachu's Ice Adventure
Yuji Ueda,Pokémon: Giratina and the Sky Warrior
Maaya Sakamoto,Fate/Grand Order the Movie: Divine Realm of the Round Table: Camelot Wandering; Agateram
Maaya Sakamoto,Yashahime: Princess Half-Demon
Maaya Sakamoto,The Millionaire Detective – Balance: UNLIMITED
Maaya Sakamoto,"SING ""YESTERDAY"" FOR ME"
Maaya Sakamoto,Made in Abyss: Dawn of the Deep Soul
Maaya Sakamoto,Oda Cinnamon Nobunaga
Maaya Sakamoto,Drifting Dragons
Takashi Matsuyama,Goku Sagi 3
Takashi Matsuyama,Mobile Suit Gundam-san
Takashi Matsuyama,Hozuki's Coolheadedness
Mitsuru Miyamoto,Katanagatari
Mitsuru Miyamoto,Corpse Princess
Mitsuru Miyamoto,Crayon Shin-chan: Invoke a Super Storm!  The Hero of Kinpoko
Shinji Ogawa,Seven of Seven
Shinji Ogawa,Android Kikaider
Shinji Ogawa,Crayon Shin-chan: Explosion! The Hot Spring's Feel Good Final Battle
Shinji Ogawa,Master Keaton
Shigeru Chiba,Dragon Ball Super: Broly
Shigeru Chiba,Pop Team Epic
Shigeru Chiba,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?
Shigeru Chiba,Makeruna!! Aku no Gundan!
Shigeru Chiba,The Laughing Salesman NEW
Hiroshi Yanaka,In/Spectre
Hiroshi Yanaka,Lupin the Third: Prison of the Past
Hiroshi Yanaka,Vinland Saga
Hiroshi Yanaka,That Time I Got Reincarnated as a Slime
Hiroshi Yanaka,Lupin the Third: Is Lupin Still Burning?
Hiroshi Yanaka,The Piano Forest
Hiroshi Yanaka,Free!: Take Your Marks
Koichi Yamadera,Go! Go! Vehicles
Koichi Yamadera,Ishura
Koichi Yamadera,PLUTO
